MSE,RMSE,MAE,MAPE,R²,Correlation,Reactor
0.10369063,0.3220103,0.28586546,600.68286,0.056440055,0.24016124607041076,R0001
0.09099396,0.30165204,0.25142887,203.25919,0.17242646,0.44565990904382763,R0002
0.055551745,0.23569417,0.1605284,144.9442,0.43104082,0.6614942974528562,R0003
0.107749134,0.32825163,0.28458875,242.62283,0.10618138,0.32847574176130984,R0004
0.08913168,0.2985493,0.23616241,194.14131,0.16882443,0.42089608041007287,R0005
0.08668458,0.29442245,0.24588284,136.09969,0.15703124,0.4021884531982234,R0006
0.11000497,0.33166996,0.29942182,524.8281,0.05881107,0.28314184721061086,R0008
0.09134393,0.30223158,0.2636991,330.03568,0.10971153,0.3435798896793011,R0010
0.06109329,0.24717057,0.1961117,711.32153,0.43901873,0.6780048843175753,R0011
0.10139276,0.3184223,0.28299996,208.65224,0.045657218,0.2505762400520381,R0012
