,,Growth Phase,,,,,,,,,,Production Phase,,,,,,,,,
,Unit,R0001,R0002,R0003,R0004,R0005,R0006,R0008,R0010,R0011,R0012,R0001,R0002,R0003,R0004,R0005,R0006,R0008,R0010,R0011,R0012
Cell Density,1/day,0.465968962,0.685783744,0.433716525,0.615689601,0.218921771,0.274120516,0.366418318,0.289489395,0.590499692,0.470623785,0.076536657,-0.001397747,0.006139381,0.059174082,-0.020692553,-0.014452071,0.086025677,0.063741993,-0.038838275,0.072976525
Cell Volume,1/day,0.061583684,0.035195359,0.063873709,0.028229876,0.08795552,0.085273322,0.050247291,0.089647073,0.141829177,0.107298923,0.094344847,0.135808347,0.133355327,0.061297371,0.148299051,0.132245859,0.062268972,0.092784488,0.137120209,0.082024855
Glucose,mmol/10^6 cells-day,-2.299710119,-2.490262099,-2.064733247,-2.167845677,-1.772709218,-2.448388054,-2.15637572,-2.083584055,-0.07980431,-2.051638459,-1.638368197,-3.072303069,-1.320151178,-0.422045233,-2.058526896,-2.714682983,-1.611676955,-2.034194416,-1.41011046,-1.803978733
Lactate,mmol/10^6 cells-day,2.800758068,3.771358137,2.464511275,3.221376708,2.107574253,2.280009982,2.377706486,2.471729275,2.572282084,2.636570019,0.193990614,1.060508863,0.792945894,0.068402537,1.059545934,0.333389579,0.155732553,0.53788416,1.65486826,0.171690446
NH4,mmol/10^6 cells-day,0.582900552,0.598208656,-0.474154724,0.617280954,1.097640545,0.613125625,0.540663627,0.882411332,-0.408528174,0.488516463,0.094631958,0.388795865,-0.233861637,0.339057102,1.163745411,0.363150372,0.138927326,0.598963408,-0.282017161,0.189760405
Titer,mg/10^6 cells-day,1.760921861,3.40524199,2.146121697,1.300076388,1.217759591,3.857370054,4.146985308,3.82289427,2.054434184,3.442842881,11.94532916,22.03306997,24.03522762,6.558399124,46.43221877,19.50285962,18.30417225,27.05931186,41.70339165,10.49750315
Glutamine,mmol/10^6 cells-day,-0.537042386,-0.810895282,-0.142432641,-0.742338032,-0.898096844,-0.681537766,-0.453596069,-0.687752403,-0.141039278,-0.608445036,-0.232812241,-0.482565394,-0.051580069,-0.208902754,-0.755931051,-0.418156012,-0.219979719,-0.449247495,-0.049373238,-0.272908094
Glutamate,mmol/10^6 cells-day,0.053097772,0.09597151,0.103451856,0.108625041,0.071846832,0.065752147,0.048697694,0.062759429,0.081001767,0.059956078,0.016248218,0.02085746,0.041256418,0.030843638,0.036723112,0.016518979,0.014490176,0.028118492,0.040048467,0.019298451
L-Asparagine,mmol/10^6 cells-day,-0.577316218,-0.226887608,-0.179053646,-0.904124444,-1.129459844,-0.73644426,-0.463731608,-1.068642104,0.167982839,-0.681476674,-0.27430336,-0.804275435,-0.096238951,-0.347373558,-1.332755366,-0.636273489,-0.260559458,-0.807932671,-0.141233912,-0.35630795
L-Aspartic acid,mmol/10^6 cells-day,0.185337146,0.178830353,-0.093178287,0.11397463,0.249355796,0.13067159,0.194628875,0.177964983,-0.06639492,0.155922868,0.083815178,0.160250877,0.037650492,0.111884278,0.451927962,0.213802233,0.092772437,0.373988279,0.028183281,0.132363843
L-Serine,mmol/10^6 cells-day,-0.345268651,-0.173307578,-2.151680091,-0.797213081,-0.380507515,-0.482008191,-0.289171952,-0.49083734,-0.584975005,-0.510615527,-0.127958437,-0.391583074,-0.518623491,-0.169802331,-0.270116808,-0.284435493,-0.115877503,-0.139112512,-0.692581909,-0.117339428
Glycine,mmol/10^6 cells-day,0.009823285,0.025231116,0.017054271,0.015666116,0.036820235,0.010296675,0.023533567,0.013452356,-0.021554354,0.01892474,-0.004674936,-0.005888796,0.108180288,0.05133628,-0.001473262,0.008277998,0.021324848,0.040378907,0.057555392,0.010815093
L-Alanine ,mmol/10^6 cells-day,0.304177883,0.332327354,-0.190340179,-0.005476915,0.421863336,0.341392518,0.259756218,0.314536099,0.019222981,0.274076646,0.157481442,0.302214157,-0.024000672,0.001510742,0.51695645,0.328425661,0.049895868,0.500136126,-0.045958225,0.214691183
