,R0001,,,,R0002,,,,R0003,,,,R0004,,,,R0005,,,,R0006,,,,R0008,,,,R0010,,,,R0011,,,,R0012,,,
,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,,Growth Phase,,Production Phase,
Priority #,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency,Reaction,Efficiency
1,biomass_cho,0.87538725,PSP_S05_FinalDemand_[e],0.599774343,biomass_cho,0.939223692,PSP_S05_FinalDemand_[e],0.776685567,biomass_cho,0.861614526,PSP_S05_FinalDemand_[e],0.786951852,biomass_cho,0.950982575,PSP_S05_FinalDemand_[e],0.53854554,biomass_cho,0.705833668,PSP_S05_FinalDemand_[e],0.870334292,biomass_cho,0.741279113,PSP_S05_FinalDemand_[e],0.759703258,biomass_cho,0.856424618,PSP_S05_FinalDemand_[e],0.725733546,biomass_cho,0.743340987,PSP_S05_FinalDemand_[e],0.787506624,biomass_cho,0.804589445,PSP_S05_FinalDemand_[e],0.867021863,biomass_cho,0.801463971,PSP_S05_FinalDemand_[e],0.592149486
2,BM_acc,0.928424123,BM_acc,0.552106839,BM_acc,0.793109114,BM_acc,1,BM_acc,0.916935257,BM_acc,0.955988429,BM_acc,0.889547651,BM_acc,0.508812416,BM_acc,0.964014474,BM_acc,1,BM_acc,0.891295912,BM_acc,1,BM_acc,0.817983682,biomass_cho,0.58009967,BM_acc,0.896881395,BM_acc,0.592771829,BM_acc,0.988945189,BM_acc,1,BM_acc,0.92037786,BM_acc,0.529187902
3,PSP_S05_FinalDemand_[e],1,biomass_cho,1,PSP_S05_FinalDemand_[e],1,EX_lac_D_e_,0.125875923,PSP_S05_FinalDemand_[e],1,biomass_cho,1,PSP_S05_FinalDemand_[e],1,biomass_cho,1,PSP_S05_FinalDemand_[e],1,EX_nh4_e_,0.258837318,PSP_S05_FinalDemand_[e],1,EX_nh4_e_,0.137948357,PSP_S05_FinalDemand_[e],1,BM_acc,1,PSP_S05_FinalDemand_[e],1,biomass_cho,1,PSP_S05_FinalDemand_[e],1,EX_lac_D_e_,0.356336308,PSP_S05_FinalDemand_[e],1,biomass_cho,1
4,EX_lac_D_e_,0.533361674,EX_ala_L_e_,0.159599275,EX_tyr_L_e_,1,EX_nh4_e_,0.105847004,EX_lac_D_e_,0.250207947,EX_lac_D_e_,0.216213801,EX_lac_D_e_,0.451695621,EX_nh4_e_,0.256007808,EX_lac_D_e_,0.338967104,EX_lac_D_e_,0.159040351,EX_lac_D_e_,0.327385175,EX_ala_L_e_,0.144721761,EX_lac_D_e_,0.468303428,EX_nh4_e_,0.154499308,EX_lac_D_e_,0.383203438,EX_nh4_e_,0.257930561,EX_lac_D_e_,0.905576989,EX_gly_e_,0.021454923,EX_lac_D_e_,0.494030939,EX_ala_L_e_,0.175881673
5,EX_nh4_e_,0.268784229,EX_nh4_e_,0.114117681,EX_lac_D_e_,0.827380103,EX_ala_L_e_,0.092015269,EX_glu_L_e_,0.019136307,EX_gly_e_,0.075494726,EX_nh4_e_,0.112741479,EX_asp_L_e_,0.113548408,EX_nh4_e_,0.229146943,EX_ala_L_e_,0.155134833,EX_nh4_e_,0.16612282,EX_asp_L_e_,0.110154329,EX_nh4_e_,0.279162625,EX_asp_L_e_,0.122023608,EX_nh4_e_,0.212884327,EX_ala_L_e_,0.290232599,EX_asn_L_e_,0.626316505,EX_glu_L_e_,0.019482801,EX_nh4_e_,0.16115909,EX_nh4_e_,0.188635055
6,EX_ala_L_e_,0.191818902,EX_asp_L_e_,0.114093722,EX_nh4_e_,0.486123623,EX_asp_L_e_,0.053736202,EX_gly_e_,0.00181192,EX_glu_L_e_,0.031142294,EX_glu_L_e_,0.043961818,EX_gly_e_,0.058773474,EX_ala_L_e_,0.114249448,EX_asp_L_e_,0.160522965,EX_ala_L_e_,0.110925587,EX_lac_D_e_,0.051026655,EX_ala_L_e_,0.186062468,EX_ala_L_e_,0.074749216,EX_ala_L_e_,0.096406107,EX_asp_L_e_,0.305773544,EX_glu_L_e_,0.808201256,EX_asp_L_e_,0.010902558,EX_ala_L_e_,0.107787409,EX_asp_L_e_,0.162169783
7,EX_asp_L_e_,0.144616401,EX_lac_D_e_,0.055993337,EX_ala_L_e_,0.525534789,EX_glu_L_e_,0.007391214,,,EX_asp_L_e_,0.029333896,EX_asp_L_e_,0.033352915,EX_lac_D_e_,0.046441888,EX_asp_L_e_,0.076241312,EX_glu_L_e_,0.015538125,EX_asp_L_e_,0.047755215,EX_glu_L_e_,0.009564402,EX_asp_L_e_,0.171280933,EX_lac_D_e_,0.044942001,EX_asp_L_e_,0.060366406,EX_lac_D_e_,0.122990117,EX_ala_L_e_,1,biomass_cho,0,EX_asp_L_e_,0.072403099,EX_lac_D_e_,0.044704484
