BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,0,0.01660727,-0.083603841,-0.172239518,-0.133904774,-1.14549609,-1.532519393,-0.182779692,-1.155910416,-0.066572066,-2.908561241,0.000418639,-2.867947612,-1.217084592,-3.23684643,-0.112129817,-0.098593046,-0.293181808,0.883923994,-0.13727376,-0.124397209,-0.091631531,0.191785368,-0.071706437,-0.129806644,-1.734124038,-2.730027634,-0.346966266,-0.061963201,-0.228856698,-0.413805365,1.82887E-05
BR1_main,0.11969697,0.022851916,-0.069630641,-0.021306964,-0.110151391,-0.893040964,-0.824932481,-0.138911312,-1.005874649,-0.065013389,-2.077924187,-0.000624183,-2.585558646,-1.027315795,-2.158107455,-0.079514655,-0.083344724,-0.255491001,1.003484287,-0.130654062,-0.111023265,-0.083808766,0.229972302,-0.077346034,-0.117642768,-1.243547472,-2.165677611,-0.283234904,-0.052636015,-0.204344826,-0.354759362,2.47182E-05
BR1_main,0.239393939,0.027869243,-0.045893839,0.067401443,-0.079438921,-0.591398412,-0.3201072,-0.08722898,-0.65594023,-0.062838139,-1.054983761,-0.002255034,-2.10100679,-0.734547167,-0.952323086,-0.03311081,-0.056314786,-0.190700155,1.037216295,-0.114132802,-0.098929751,-0.071631653,0.257181748,-0.094854148,-0.105348443,-0.698283494,-1.315256576,-0.191369711,-0.045063432,-0.25277351,-0.255448438,2.88701E-05
BR1_main,0.359090909,0.031971142,-0.028294224,-0.088303281,-0.053536956,-0.425219804,-0.173329524,-0.075356308,-0.542514382,-0.059628757,-0.280320339,-0.005183045,-1.606272011,-0.690685159,-0.126518728,-0.159274352,-0.036955083,-0.130247355,0.882066112,-0.102126477,-0.088832554,-0.061973146,0.300420198,-0.099548664,-0.095493836,-0.606306352,-0.690292752,-0.128000442,-0.034674734,-0.254707184,-0.163534894,2.91891E-05
BR1_main,0.478787879,0.034907241,-0.023072358,-0.251981607,-0.042927051,-0.264144186,-0.077051051,-0.077051954,-0.610861233,-0.053005443,-0.575218252,-0.010605813,-1.382018789,-0.797378991,-0.284417485,-0.212421434,-0.026574803,-0.125802019,0.665945813,-0.094449708,-0.077438541,-0.04766564,0.341614881,-0.097434346,-0.100746864,-0.848021245,-0.731287022,-0.098112344,-0.027469403,-0.337531676,-0.11263979,2.8954E-05
BR1_main,0.598484848,0.03696178,-0.021573107,-0.234450871,-0.03665304,-0.195476062,-0.086638101,-0.058901675,-0.627771551,-0.046423021,-0.62264154,-0.012397955,-1.209189402,-0.733718949,-0.522029745,-0.183198295,-0.018580351,-0.121194155,0.452138334,-0.0805773,-0.07341741,-0.048818628,0.250677634,-0.084331086,-0.09144563,-0.92294719,-0.809719682,-0.076629081,-0.022917544,-0.321790596,-0.095643562,1.97495E-05
BR1_main,0.718181818,0.03827735,-0.020988026,-0.12864734,-0.03595407,-0.180763746,-0.138604136,-0.034830076,-0.566002596,-0.041009868,-0.770234726,-0.009266769,-1.047101375,-0.692568664,-0.539960542,-0.154069598,-0.013271976,-0.102321846,0.212637721,-0.073642475,-0.062762005,-0.048539389,0.167272854,-0.063416432,-0.099924511,-0.862799693,-0.757762256,-0.064117182,-0.020168907,-0.285481939,-0.087450343,1.42002E-05
BR1_main,0.837878788,0.038901921,-0.021867334,-0.03660647,-0.035901386,-0.24330043,-0.132554438,-0.033225543,-0.479074028,-0.036242171,-0.629296821,-0.00502532,-0.888851556,-0.671959642,-0.413827797,-0.099675329,-0.008859451,-0.083839132,0.075574204,-0.08206284,-0.056420703,-0.043781469,0.109330266,-0.042520483,-0.109815815,-0.698417933,-0.709179051,-0.054183545,-0.017570377,-0.188874768,-0.075700492,1.09933E-05
BR1_main,0.957575758,0.039298913,-0.017347749,-0.009099643,-0.035205509,-0.235025169,-0.10456209,-0.03779599,-0.359121259,-0.032490952,-0.440196662,-0.001783666,-0.774466384,-0.636423704,-0.293047135,-0.034793241,-0.007992847,-0.066096103,0.044314219,-0.082428794,-0.053803264,-0.036066814,0.090020252,-0.029911422,-0.116474772,-0.381753816,-0.420563216,-0.047687606,-0.014777813,-0.090000532,-0.065376009,6.55959E-06
BR1_main,1.077272727,0.03951076,-0.016072124,0.005188506,-0.036747599,-0.260262689,-0.072634213,-0.041299259,-0.254950614,-0.028584654,-0.215525172,-0.000272286,-0.69856628,-0.558972044,-0.208230848,0.004941071,-0.00794006,-0.054797108,0.096564021,-0.078196224,-0.048677207,-0.028121152,0.105659649,-0.027349486,-0.106447036,-0.23771791,-0.289164029,-0.042461485,-0.012801461,-0.045129391,-0.05801327,4.32323E-06
