BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,0,0.019140191,-0.003986319,0.442250925,-0.056557934,-0.335051117,-0.513720297,-0.013035384,0.103558692,-0.026456608,-0.107133347,0.005748154,-1.414801276,-0.557297563,-0.804601068,0.16349961,-0.038105458,-0.096849256,1.335994728,-0.050084889,-0.041213327,-0.038493764,0.51804594,-0.031875849,-0.045716582,-0.093081135,-1.082014322,-0.141335219,-0.029284361,0.042568288,-0.197404436,0.000185033
BR1_main,0.11969697,0.025263198,-0.004340926,0.378086935,-0.044672,-0.253730475,-0.289592885,-0.010550047,0.040720603,-0.026248105,0.066284547,0.003601625,-1.338753248,-0.573127892,-0.463856172,0.129281051,-0.032611153,-0.096612668,1.501301121,-0.048727305,-0.042026564,-0.037319572,0.495215485,-0.040075122,-0.043938093,-0.065464188,-0.925950816,-0.125708796,-0.026004562,0.013541228,-0.174367549,0.000169269
BR1_main,0.239393939,0.030220557,-0.005158219,0.284231308,-0.033862923,-0.150557836,-0.053332645,-0.00784612,-0.008380725,-0.025614292,0.17481973,0.000922219,-1.231871824,-0.556218669,-0.063677667,0.084877255,-0.024507601,-0.091085534,1.485398747,-0.046194722,-0.041625168,-0.035232218,0.470294665,-0.045997734,-0.042119302,-0.056520598,-0.693383601,-0.099867919,-0.022489026,-0.017432051,-0.136681834,0.00014914
BR1_main,0.359090909,0.034123462,-0.005698906,0.207140937,-0.025747489,-0.034811136,0.086670379,-0.006203806,-0.033422009,-0.024662057,0.213004034,-0.001890405,-1.113802286,-0.526692801,0.197734019,0.056078727,-0.017003723,-0.083636234,1.285454539,-0.043151088,-0.040387912,-0.032682123,0.447880686,-0.047952807,-0.040761804,-0.050825561,-0.442133245,-0.075500498,-0.019068821,-0.039851405,-0.102426687,0.000127221
BR1_main,0.478787879,0.036894156,-0.005849551,0.161482926,-0.020986595,0.071366086,0.114133626,-0.004723502,-0.033644957,-0.023506415,0.217227801,-0.003987678,-0.998798007,-0.491753218,0.282058881,0.0449641,-0.011432503,-0.075686546,0.984384049,-0.040100174,-0.038569367,-0.029954768,0.431624661,-0.045430221,-0.040331126,-0.046698332,-0.229604534,-0.057098942,-0.015991461,-0.049920262,-0.07802435,0.000105799
BR1_main,0.598484848,0.038719079,-0.005873387,0.138069875,-0.019269362,0.133221304,0.085436918,-0.00311166,-0.016678376,-0.022243414,0.205333751,-0.004451085,-0.89358841,-0.452234529,0.253746807,0.043669971,-0.007754045,-0.067266444,0.689973167,-0.037329274,-0.036318902,-0.027098827,0.42156456,-0.03962178,-0.041061209,-0.051396898,-0.100958482,-0.044321755,-0.013394269,-0.049169619,-0.062102599,8.64789E-05
BR1_main,0.718181818,0.039860036,-0.005855388,0.125239549,-0.019735184,0.127590314,0.047211294,-0.00211457,0.003692295,-0.020945884,0.175176881,-0.003275099,-0.800135984,-0.414096302,0.186393236,0.045848896,-0.005524489,-0.058465593,0.465671792,-0.034995975,-0.033778213,-0.024101667,0.410256073,-0.032680813,-0.042618691,-0.062363732,-0.062016994,-0.035654152,-0.011318875,-0.041517942,-0.051687855,7.0184E-05
BR1_main,0.837878788,0.040546289,-0.005671418,0.116914765,-0.021403856,0.071811437,0.020601445,-0.002176722,0.01705724,-0.019664175,0.131161518,-0.001470995,-0.718208572,-0.381318241,0.121325688,0.048354904,-0.00431434,-0.049868263,0.325373221,-0.03314211,-0.03110131,-0.021156215,0.38318053,-0.026393078,-0.043764709,-0.070212587,-0.075711738,-0.029778557,-0.00973867,-0.031273896,-0.044515084,5.72768E-05
BR1_main,0.957575758,0.040943883,-0.005180723,0.110194802,-0.023446175,0.007096161,0.008544513,-0.002921658,0.022160381,-0.018429095,0.089041159,3.3803E-05,-0.646761123,-0.34390134,0.069261167,0.049951261,-0.003796824,-0.042182862,0.261813749,-0.031611754,-0.028436875,-0.018637359,0.332531261,-0.021554659,-0.042447183,-0.069232118,-0.095984554,-0.025774949,-0.008588449,-0.021803587,-0.039231272,4.76861E-05
BR1_main,1.077272727,0.041161715,-0.004383521,0.102727032,-0.025286128,-0.039872814,0.00566186,-0.003473252,0.022838027,-0.017253427,0.060818411,0.000951557,-0.584438443,-0.291569249,0.026942067,0.050281342,-0.003736319,-0.035833579,0.26785965,-0.030120753,-0.025907836,-0.016738652,0.269313452,-0.018185753,-0.037356063,-0.061868392,-0.099801274,-0.023030142,-0.007787547,-0.014877645,-0.035095125,4.10087E-05
BR1_main,1.196969697,0.041267073,-0.003436474,0.093036707,-0.026600032,-0.065634303,0.006728569,-0.00333276,0.021856068,-0.016140245,0.046131321,0.001379976,-0.529936579,-0.23448144,-0.009945943,0.049400338,-0.003963265,-0.030877594,0.342022829,-0.028601851,-0.023610811,-0.015346982,0.210785454,-0.015965984,-0.029893294,-0.056783548,-0.088294097,-0.021138795,-0.007255836,-0.010791441,-0.031719377,3.66457E-05
BR1_main,1.316666667,0.041299679,-0.002533808,0.08225357,-0.027264711,-0.07684992,0.008574141,-0.00276811,0.020081109,-0.015089018,0.039321505,0.001497437,-0.482133782,-0.195012446,-0.042063603,0.047554207,-0.004354289,-0.027128372,0.477012174,-0.027236072,-0.021616053,-0.014256181,0.16483854,-0.014525564,-0.022789632,-0.060431556,-0.070549628,-0.019831328,-0.006917535,-0.008960672,-0.028915236,3.39577E-05
BR1_main,1.436363636,0.041281725,-0.001810747,0.073776701,-0.027290518,-0.079649161,0.009487926,-0.002208183,0.01655665,-0.014097988,0.036468531,0.00144458,-0.440076737,-0.18263018,-0.066009904,0.045040972,-0.004819139,-0.024310084,0.630633733,-0.026146844,-0.019962975,-0.013326404,0.1307917,-0.013565973,-0.017492962,-0.070970239,-0.054230105,-0.018926047,-0.006697397,-0.008551217,-0.026605296,3.2392E-05
BR1_main,1.556060606,0.041224303,-0.001297453,0.070454201,-0.026762612,-0.077554808,0.008609471,-0.001795785,0.010309763,-0.013165488,0.0358332,0.001310132,-0.402960125,-0.188768195,-0.078288484,0.042120613,-0.005292644,-0.022161954,0.710687428,-0.025320639,-0.018658333,-0.012493607,0.105422094,-0.012882388,-0.013977861,-0.081425073,-0.043610948,-0.018300124,-0.006521176,-0.008857317,-0.024763212,3.154E-05
BR1_main,1.675757576,0.041131253,-0.000947074,0.072651453,-0.025797669,-0.072387292,0.00595155,-0.001387887,0.002629646,-0.012290287,0.036984609,0.001145362,-0.370104584,-0.198609288,-0.080052009,0.038987419,-0.005729424,-0.020481127,0.645006083,-0.024697795,-0.01768167,-0.011733427,0.08590391,-0.012347485,-0.011716002,-0.086712853,-0.03934227,-0.017872293,-0.006330808,-0.009396845,-0.02335501,3.1132E-05
BR1_main,1.795454545,0.041001274,-0.000706094,0.078138724,-0.024516092,-0.064973389,0.002116495,-0.000824698,-0.004547107,-0.011471448,0.03976006,0.000979431,-0.340937004,-0.200618558,-0.073790269,0.035809332,-0.006100039,-0.019125741,0.477155634,-0.024228564,-0.016996935,-0.011035938,0.070319631,-0.011887807,-0.010248201,-0.086570084,-0.039845388,-0.017592977,-0.006106635,-0.009864555,-0.022301566,3.10022E-05
BR1_main,1.915151515,0.040828923,-0.000542245,0.082904139,-0.023028005,-0.055659313,-0.002473016,-0.000147653,-0.01047623,-0.010708687,0.043015643,0.000829752,-0.314992951,-0.189808033,-0.06059086,0.032767023,-0.006388205,-0.018003029,0.311054525,-0.023883028,-0.016565143,-0.010395881,0.05745111,-0.011464573,-0.009313953,-0.083266267,-0.04303093,-0.017438436,-0.005866306,-0.010091425,-0.02148134,3.1055E-05
BR1_main,2.034848485,0.04060486,-0.000437073,0.082623127,-0.021422751,-0.045144403,-0.007447472,0.000501971,-0.015368447,-0.010000577,0.04532459,0.000706905,-0.291851254,-0.166542207,-0.042948093,0.03001283,-0.006587076,-0.017051372,0.20087661,-0.023641359,-0.016349492,-0.009807915,0.046506203,-0.011057821,-0.008821675,-0.078855365,-0.047006514,-0.017397321,-0.005626451,-0.010032359,-0.020734348,3.12324E-05
BR1_main,2.154545455,0.040315611,-0.000376793,0.074761187,-0.019768322,-0.03565308,-0.012225259,0.001018201,-0.019382155,-0.009344416,0.046146875,0.000615651,-0.27112396,-0.134301423,-0.024428081,0.027603235,-0.006696472,-0.016228771,0.144556171,-0.023487622,-0.016319046,-0.009266148,0.036943603,-0.010657312,-0.008773746,-0.074418909,-0.050359415,-0.01745269,-0.005374802,-0.009739995,-0.019900457,3.14953E-05
BR1_main,2.274242424,0.039943094,-0.000347638,0.060276932,-0.018121003,-0.030570962,-0.016226401,0.001382535,-0.022447173,-0.008739381,0.0457469,0.000554061,-0.252536296,-0.098777984,-0.008335656,0.025491701,-0.006722805,-0.015510347,0.118939651,-0.023412935,-0.016454092,-0.008767135,0.028382175,-0.010260326,-0.009161182,-0.070374613,-0.052332609,-0.017574782,-0.00509849,-0.009317959,-0.018930121,3.18217E-05
BR1_main,2.393939394,0.039464321,-0.000334126,0.043048285,-0.016530497,-0.031153055,-0.018997122,0.001643556,-0.024571965,-0.008185473,0.044552505,0.000513982,-0.235881078,-0.066336005,0.001782389,0.023581177,-0.006676768,-0.014881382,0.096723028,-0.023411199,-0.016738999,-0.00830882,0.020536604,-0.009868032,-0.009885147,-0.066816461,-0.052771968,-0.017721654,-0.004806659,-0.008885011,-0.017914354,3.21976E-05
