BR,time,vcd,ac,ala,arg,asn,asp,cit,cys,cyst,form,fum,glc,gln,glu,gly,his,ile,lac,leu,lys,met,nh4,phe,pro,ser,succ,thr,trp,tyr,val,titer
BR1_main,0,0.020868891,0.05499729,1.600249659,-0.011829797,0.55893984,0.217352858,0.153704545,1.493838688,-0.000710395,2.333138886,0.017521602,-0.957993612,0.134127038,0.655717894,0.965786658,-0.003202328,-0.009172309,2.13228865,-0.002774816,-0.001095438,-0.005713197,0.931888461,-0.002360925,-0.003140204,2.15696918,0.309912042,-0.01427399,-0.009883349,0.614767852,-0.00989647,0.000497219
BR1_main,0.11969697,0.026861333,0.046564085,1.113188714,-0.009491327,0.497106866,0.187484249,0.113841739,1.101044111,-0.003042784,1.773368147,0.011189176,-0.919629238,-0.133850871,0.703895286,0.654635816,-0.003060916,-0.023734939,2.046735882,-0.005699432,-0.0059987,-0.010267111,0.832567712,-0.016386839,-0.004682847,1.637429861,0.021628056,-0.015837516,-0.009715813,0.424292206,-0.028288264,0.000437885
BR1_main,0.239393939,0.031905691,0.023248427,0.501806057,-0.008139555,0.422961855,0.280093927,0.069347443,0.707609832,-0.004600619,1.048863829,0.004874352,-0.868643874,-0.415927666,0.511951461,0.252462397,-0.003362665,-0.033836983,1.991985916,-0.009183222,-0.007176789,-0.013177898,0.731860032,-0.014237073,-0.006153454,0.912777434,-0.237218526,-0.017302893,-0.008979946,0.183509664,-0.039164084,0.000367046
BR1_main,0.359090909,0.035691231,0.013573047,0.379617498,-0.004159348,0.339006559,0.473973938,0.045975373,0.451929637,-0.004614964,0.795851177,0.001484987,-0.811276507,-0.386423761,0.760355614,0.170120088,-0.003409661,-0.034340608,1.849611616,-0.012740743,-0.007320422,-0.016462875,0.599676713,-0.012948582,-0.007721621,0.493265274,-0.122236635,-0.020124871,-0.007922138,0.046099568,-0.048436055,0.000297458
BR1_main,0.478787879,0.038315135,0.010623683,0.345584198,-0.002404001,0.512568297,0.450512453,0.050960319,0.343365304,-0.005338678,1.339946582,0.000661434,-0.72075375,-0.246389481,1.005890177,0.135731477,-0.002267607,-0.032590164,1.336050384,-0.014523029,-0.007097603,-0.01660104,0.539157598,-0.011959501,-0.008793428,0.690895586,0.392091963,-0.019454206,-0.005847004,0.025395872,-0.040061989,0.000230012
BR1_main,0.598484848,0.039967026,0.00680129,0.32565734,-0.004735609,0.799974334,0.460222788,0.048034429,0.378234933,-0.005196476,1.527370956,0.000553187,-0.694446302,-0.149491002,1.071736109,0.121177754,-0.001232119,-0.029370274,1.129115092,-0.013778808,-0.007443108,-0.010619916,0.55718275,-0.011827562,-0.006433642,0.738704581,0.708621673,-0.018973646,-0.00390567,0.031131816,-0.030733637,0.00016939
BR1_main,0.718181818,0.04090488,0.005186857,0.306563664,-0.005601671,0.639196244,0.345057176,0.038048643,0.525997193,-0.005180088,1.318241139,0.00054674,-0.634125097,-0.152974804,1.127989551,0.102448687,-0.000876604,-0.019052603,0.928394849,-0.01103879,-0.006567368,-0.006179392,0.65721217,-0.013511421,-0.004666097,0.586012868,0.64423284,-0.013996229,-0.003008623,0.038752261,-0.020831826,0.000135127
BR1_main,0.837878788,0.041462773,0.006906188,0.27056933,-0.00629393,0.429409916,0.208561076,0.030603535,0.528514574,-0.005274606,0.941090986,0.000468419,-0.560329367,-0.152443536,0.89820644,0.107804293,-0.000612242,-0.010759163,0.818123112,-0.008576152,-0.005310471,-0.001843305,0.716503079,-0.013253224,-0.00438752,0.394930133,0.472052981,-0.011054721,-0.002501252,0.03495681,-0.016766038,0.000107012
BR1_main,0.957575758,0.041783428,0.003612191,0.263773515,-0.009541593,0.280223338,0.170055535,0.028203877,0.433083451,-0.005739166,0.593713613,0.001606242,-0.498105964,-0.118016785,0.593627496,0.116038665,-0.00034531,-0.007164289,0.72826664,-0.005002222,-0.004706841,-0.001600874,0.623283728,-0.010430855,-0.003377942,0.165223924,0.23176076,-0.008527294,-0.001847761,0.057242289,-0.015523182,8.87564E-05
BR1_main,1.077272727,0.041975113,0.004210582,0.245778003,-0.01367481,0.253036244,0.129294942,0.022724317,0.342874522,-0.006117811,0.346432808,0.002993342,-0.412476934,-0.120318976,0.29487705,0.112139973,-0.000438864,-0.005819519,0.654736904,-0.006370461,-0.004068579,-0.005152957,0.455293404,-0.00682578,-0.002284955,0.128268593,0.072048366,-0.008241861,-0.001757388,0.050100234,-0.014666142,7.30391E-05
BR1_main,1.196969697,0.042092169,0.004013291,0.209352041,-0.017706249,0.178051986,0.093569969,0.017197347,0.243750423,-0.006105411,0.266018054,0.003403739,-0.356935735,-0.133241519,0.125336356,0.104760716,-0.000715755,-0.007244973,0.576023743,-0.010425562,-0.002826197,-0.009066208,0.299629621,-0.00366157,-0.00322417,0.167871246,0.117332613,-0.00599978,-0.002362027,0.064747457,-0.013958799,6.84645E-05
BR1_main,1.316666667,0.042151127,0.003278924,0.170775081,-0.019679418,0.094658911,0.088592345,0.015054507,0.249794393,-0.00603265,0.272228175,0.003215511,-0.320287151,-0.077049007,0.237655474,0.095610248,-0.001123538,-0.010280227,0.706254325,-0.012577453,-0.002362422,-0.009314371,0.205568482,-0.002547968,-0.003015484,0.236736056,0.15878123,-0.005268095,-0.003091869,0.067814282,-0.013932786,6.29896E-05
BR1_main,1.436363636,0.042174587,0.00249847,0.130805237,-0.020077883,0.043656564,0.122732763,0.01268505,0.296080701,-0.005697423,0.243008035,0.00289868,-0.277010305,-0.025278043,0.221880365,0.090532088,-0.001744275,-0.013511541,0.963968511,-0.014341307,-0.002283063,-0.009744898,0.163092032,-0.002632712,-0.002758926,0.168291757,0.210792002,-0.005909522,-0.00342403,0.058435985,-0.010488924,5.82299E-05
