Vessel,Time,Production phase fraction,Cell Density,Cell Volume,Glucose,Lactate,NH4,Titer,Glutamine,Glutamate,L-Asparagine,L-Aspartic acid,L-Serine,Glycine,L-Alanine ,L-Proline,L-Threonine,L-Histidine,L-Lysine,L-Valine ,L-Methionine,L-Arginine,L-Tyrosine,L-Isoleucine,L-Leucine,L-Phenylalanine,L-Tryptophan
,(day),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless),(dimensionless)
R0001,0,0,0.040943332,0.352975217,0.477709696,0.070857924,0.220695935,0.038986006,0.550960008,1,1,0.226775229,0.720240507,0.586036151,0.114411676,0.567048503,0.753487758,0.917769504,0.514232226,0.575376536,0.491634142,1,0.964550217,0.695542367,0.386482067,0.731606302,0.363936469
R0001,1,0,0.065245555,0.375396024,0.86617932,0.163463061,0.333007944,0.047310898,0.903099061,0.670071818,0.877296038,0.256434009,0.940881457,0.829856846,0.19222012,0.898745992,0.9448072,0.987171574,0.885538391,0.896794535,0.87042236,0.958942405,1,0.931959947,0.844701657,0.933321217,0.776330909
R0001,2,0.174620747,0.097137152,0.401531503,0.988110362,0.235982483,0.403735671,0.07302083,1,0.561143612,0.805070608,0.293158605,1,0.920677092,0.245190577,1,1,1,1,0.99689083,0.991040501,0.936815417,0.998430223,1,0.990362269,0.995896123,0.917848136
R0001,3,0.174620747,0.144617152,0.429486564,1,0.348614125,0.491309831,0.111297608,0.97737535,0.54488807,0.73115534,0.352311415,0.981053842,0.958724365,0.306362681,0.996985925,0.993519921,0.98299027,0.999607811,1,1,0.916328674,0.971761205,0.99129953,1,1,0.947127371
R0001,4,0.174620747,0.215305063,0.459387886,0.955293965,0.518015606,0.615169071,0.168283823,0.882296471,0.574366442,0.633476485,0.4420249,0.913498007,0.979623774,0.390927531,0.935933309,0.951259631,0.944382683,0.936189422,0.950950322,0.950572727,0.890410367,0.923105325,0.937880305,0.938116308,0.973347501,0.923980845
R0001,5,0.316341075,0.303333072,0.493657672,0.882388366,0.663249467,0.727526394,0.284274352,0.765087344,0.615272843,0.528503827,0.540407509,0.834171551,0.988023371,0.484797332,0.863717214,0.897182734,0.897416435,0.859509039,0.888256898,0.886800429,0.863032076,0.868407345,0.870481239,0.860101225,0.932752459,0.893479297
R0001,6,0.316341075,0.42735155,0.530483944,0.77136487,0.909935298,0.910291311,0.447687897,0.580310589,0.686768942,0.373882187,0.687952199,0.707269162,1,0.622274475,0.742159182,0.811877502,0.826457469,0.730692032,0.78443221,0.779044153,0.822774049,0.784866189,0.763627585,0.727332921,0.870159187,0.831031254
R0001,7,0.511557907,0.55799989,0.573714914,0.654399774,1,1,0.757166702,0.432199698,0.734834461,0.244992006,0.808002802,0.613767627,0.992717369,0.74236594,0.663946409,0.741390519,0.763965698,0.64537793,0.708940867,0.704285946,0.789682736,0.718316684,0.677474988,0.639018901,0.808429342,0.808209398
R0001,9,0.886486528,0.71041102,0.687721964,0.523652983,0.53303991,0.758957532,0.656505575,0.421794852,0.694203798,0.2079917,0.828743972,0.643631727,0.92048364,0.799757596,0.745752863,0.727414884,0.733572904,0.721312885,0.739908608,0.753359746,0.782042386,0.713766219,0.669635649,0.716598324,0.75359825,0.932399751
